Adder,PNSR,MSE,SSIM
add16se_1Y7,25.04,203.65,0.78
add16se_20J,31.92,41.75,0.94
add16se_259,20.24,614.66,0.56
add16se_25S,8.02,10255.81,0.09
add16se_26Q,38.11,10.04,0.98
add16se_28H,18.94,830.42,0.48
add16se_294,23.99,259.22,0.74
add16se_29A,18.26,970.65,0.47
add16se_2AS,9.29,7654.99,0.13
add16se_2BY,32.82,33.99,0.95
add16se_2DN,40.45,5.86,0.99
add16se_2E1,9.35,7548.16,0.13
add16se_2GE,8.74,8685.22,0.10
add16se_2H0,37.35,11.96,0.98
add16se_2JB,11.92,4175.75,0.21
add16se_2JY,28.88,84.08,0.89
add16se_2KV,29.70,69.75,0.91
add16se_2LJ,34.12,25.21,0.96
