Adder,TotalPower,StaticPower,DynamicPower,CycleLatency,TotalCycle,WorstSlack,Period,Fmax,PNSR,MSE,SSIM,EP,WCE,MAE,Power,MSEO,Area,Delay,NormTPower,NormMSE,NormLatency,NormPower,NormMSEO,NormDelay,LUT,DFF,LUTDFF,NormLUTDFF,NormArea
1Y7,67.542,62.377,5.165,14,88183105,7.317,2.683,372.717,25.22,195.59,0.70,93.75,14.00,4.50,0.057,30.00,111.20,1.00,0.981,0.0139,0.824,0.760,0.02342,0.7519,845,834,1679,0.717,0.697
2AS,67.790,62.377,5.414,9,64774105,7.645,2.355,424.628,9.91,6638.25,0.18,99.02,86.00,30.00,0.043,1281.00,85.90,0.76,0.985,0.4720,0.529,0.573,1.00000,0.5714,825,799,1624,0.694,0.538
2BY,68.083,62.377,5.707,10,69455905,7.688,2.312,432.526,33.17,31.34,0.91,78.12,5.00,1.60,0.063,4.50,126.20,1.11,0.989,0.0022,0.588,0.840,0.00351,0.8346,919,834,1753,0.749,0.791
2DN,68.445,62.377,6.069,9,64774105,7.638,2.362,423.370,40.66,5.58,0.98,25.00,1.00,0.20,0.072,0.20,141.70,1.28,0.995,0.0004,0.529,0.960,0.00016,0.9624,944,946,1890,0.807,0.888
2E1,67.344,62.377,4.968,8,60092305,7.381,2.619,381.825,9.73,7548.16,0.19,99.80,65.00,32.00,0.043,1248.00,86.80,0.79,0.979,0.5367,0.471,0.573,0.97424,0.5940,827,788,1615,0.690,0.544
2GE,67.625,62.377,5.249,14,88183105,7.407,2.593,385.654,8.58,9026.47,0.17,95.31,23.00,6.50,0.052,64.00,106.10,0.92,0.983,0.6418,0.824,0.693,0.04996,0.6917,827,830,1657,0.708,0.665
2H0,68.817,62.377,6.440,9,64774105,7.701,2.299,434.972,37.67,11.13,0.97,25.00,3.00,0.50,0.072,1.20,148.30,1.33,1.000,0.0008,0.529,0.960,0.00094,1.0000,944,950,1894,0.809,0.929
2JB,67.778,62.377,5.402,13,83501305,7.444,2.556,391.236,12.12,4037.16,0.21,97.95,38.00,15.00,0.048,312.00,97.10,0.87,0.985,0.2871,0.765,0.640,0.24356,0.6541,822,820,1642,0.701,0.608
2JY,68.173,62.377,5.797,14,88183105,7.243,2.757,362.713,28.84,84.85,0.82,87.50,4.00,2.00,0.062,5.50,120.10,1.08,0.991,0.0060,0.824,0.827,0.00429,0.8120,888,897,1785,0.762,0.753
2KV,68.338,62.377,5.962,9,64774105,7.505,2.495,400.802,29.74,69.09,0.85,62.50,2.00,0.80,0.066,1.00,130.50,1.17,0.993,0.0049,0.529,0.880,0.00078,0.8797,922,917,1839,0.786,0.818
2LJ,68.484,62.377,6.108,9,64774105,7.533,2.467,405.351,34.64,22.32,0.94,6.25,8.00,0.50,0.075,4.00,159.60,1.25,0.995,0.0016,0.529,1.000,0.00312,0.9398,943,945,1888,0.806,1.000
20J,68.417,62.377,6.041,9,64774105,7.762,2.238,446.828,31.92,41.74,0.90,75.00,2.00,1.00,0.066,1.50,129.10,1.17,0.994,0.0030,0.529,0.880,0.00117,0.8797,918,905,1823,0.779,0.809
25S,68.002,62.377,5.625,13,83501305,7.544,2.456,407.166,8.02,10255.81,0.11,98.15,38.00,13.00,0.051,232.00,112.20,0.84,0.988,0.7293,0.765,0.680,0.18111,0.6316,831,838,1669,0.713,0.703
26Q,68.324,62.377,5.947,17,102228505,7.556,2.444,409.165,38.45,9.48,0.97,50.00,1.00,0.50,0.071,0.50,138.00,1.25,0.993,0.0007,1.000,0.947,0.00039,0.9398,894,907,1801,0.769,0.865
28H,68.185,62.377,5.809,10,69455905,7.377,2.623,381.243,18.65,886.34,0.45,90.62,10.00,3.10,0.062,15.00,127.60,1.06,0.991,0.0630,0.588,0.827,0.01171,0.7970,884,866,1750,0.748,0.799
29A,68.086,62.377,5.709,8,60092305,7.741,2.259,442.674,18.48,922.00,0.45,96.88,18.00,8.00,0.052,87.00,104.70,0.92,0.989,0.0656,0.471,0.693,0.06792,0.6917,864,849,1713,0.732,0.656
259,68.044,62.377,5.668,16,97546705,7.630,2.370,421.941,20.02,647.03,0.51,81.25,5.00,1.60,0.062,4.00,121.50,1.08,0.989,0.0460,0.941,0.827,0.00312,0.8120,865,889,1754,0.749,0.761
294,68.670,62.377,6.293,7,55410505,6.251,3.749,266.738,6.65,14063.39,0.16,93.75,10.00,4.10,0.057,24.00,113.60,1.03,0.998,1.0000,0.412,0.760,0.01874,0.7744,1034,1307,2341,1.000,0.712
RCA,68.487,62.377,6.110,17,102228505,7.388,2.612,382.848,,,,,,,,,,,0.995,,,,,,911,927,1838,0.785,0.000
