Adder,TotalPower,DynamicPower,LUT,DFF,LUTDFF,PNSR,MSE,SSIM,EP,WCE,MAE,Power,MSEO,Area,Delay,NormTPower,NormMSE,NormLatency,NormPower,NormMSEO,NormDelay,NormLUTDFF,NormArea
1Y7,9.34,9.246,557,773,1330,25.22,195.59,0.70,93.75,14.00,4.50,0.057,30.00,111.20,1.00,0.781,0.0139,#REF!,0.760,0.02342,0.7519,0.9166,0.6967
2AS,10.372,10.269,484,685,1169,9.91,6638.25,0.18,99.02,86.00,30.00,0.043,1281.00,85.90,0.76,0.867,0.4720,#REF!,0.573,1.00000,0.5714,0.8057,0.5382
2BY,11.501,11.387,552,871,1423,33.17,31.34,0.91,78.12,5.00,1.60,0.063,4.50,126.20,1.11,0.962,0.0022,#REF!,0.840,0.00351,0.8346,0.9807,0.7907
2DN,11.788,11.67,566,883,1449,40.66,5.58,0.98,25.00,1.00,0.20,0.072,0.20,141.70,1.28,0.986,0.0004,#REF!,0.960,0.00016,0.9624,0.9986,0.8878
2E1,8.35,8.263,530,646,1176,9.73,7548.16,0.19,99.80,65.00,32.00,0.043,1248.00,86.80,0.79,0.698,0.5367,#REF!,0.573,0.97424,0.5940,0.8105,0.5439
2GE,9.533,9.437,550,769,1319,8.58,9026.47,0.17,95.31,23.00,6.50,0.052,64.00,106.10,0.92,0.797,0.6418,#REF!,0.693,0.04996,0.6917,0.9090,0.6648
2H0,11.961,11.841,564,887,1451,37.67,11.13,0.97,25.00,3.00,0.50,0.072,1.20,148.30,1.33,1.000,0.0008,#REF!,0.960,0.00094,1.0000,1.0000,0.9292
2JB,9.429,9.334,536,733,1269,12.12,4037.16,0.21,97.95,38.00,15.00,0.048,312.00,97.10,0.87,0.788,0.2871,#REF!,0.640,0.24356,0.6541,0.8746,0.6084
2JY,10.85,10.743,517,759,1276,28.84,84.85,0.82,87.50,4.00,2.00,0.062,5.50,120.10,1.08,0.907,0.0060,#REF!,0.827,0.00429,0.8120,0.8794,0.7525
2KV,11.645,11.529,554,854,1408,29.74,69.09,0.85,62.50,2.00,0.80,0.066,1.00,130.50,1.17,0.974,0.0049,#REF!,0.880,0.00078,0.8797,0.9704,0.8177
2LJ,11.898,11.779,565,882,1447,34.64,22.32,0.94,6.25,8.00,0.50,0.075,4.00,159.60,1.25,0.995,0.0016,#REF!,1.000,0.00312,0.9398,0.9972,1.0000
20J,11.162,11.051,546,814,1360,31.92,41.74,0.90,75.00,2.00,1.00,0.066,1.50,129.10,1.17,0.933,0.0030,#REF!,0.880,0.00117,0.8797,0.9373,0.8089
25S,9.639,9.542,552,777,1329,8.02,10255.81,0.11,98.15,38.00,13.00,0.051,232.00,112.20,0.84,0.806,0.7293,#REF!,0.680,0.18111,0.6316,0.9159,0.7030
26Q,11.587,11.472,545,844,1389,38.45,9.48,0.97,50.00,1.00,0.50,0.071,0.50,138.00,1.25,0.969,0.0007,#REF!,0.947,0.00039,0.9398,0.9573,0.8647
28H,11.203,11.092,533,804,1337,18.65,886.34,0.45,90.62,10.00,3.10,0.062,15.00,127.60,1.06,0.937,0.0630,#REF!,0.827,0.01171,0.7970,0.9214,0.7995
29A,9.33,9.236,526,755,1281,18.48,922.00,0.45,96.88,18.00,8.00,0.052,87.00,104.70,0.92,0.780,0.0656,#REF!,0.693,0.06792,0.6917,0.8828,0.6560
259,11.184,11.073,532,827,1359,20.02,647.03,0.51,81.25,5.00,1.60,0.062,4.00,121.50,1.08,0.935,0.0460,#REF!,0.827,0.00312,0.8120,0.9366,0.7613
294,9.493,9.397,411,917,1328,6.65,14063.39,0.16,93.75,10.00,4.10,0.057,24.00,113.60,1.03,0.794,1.0000,#REF!,0.760,0.01874,0.7744,0.9152,0.7118
RCA,11.159,11.048,554,864,1418,,,,,,,,,,,0.933,,,,,,0.9773,
